Depth	
-334	1.00E-05
-334.5	1.00E-05
-335	1.00E-05
-335.5	1.00E-05
-336	1.00E-05
-336.5	1.00E-05
-337	1.00E-05
-337.5	1.00E-05
-338	1.00E-05
-338.5	1.00E-05
-339	1.00E-05
-339.5	1.00E-05
-340	1.00E-05
-340.5	1.00E-05
-341	1.00E-05
-341.5	1.00E-05
-342	1.00E-05
-342.5	1.00E-05
-343	1.00E-05
-343.5	1.00E-05
-344	1.00E-05
-344.5	1.00E-05
-345	1.00E-05
-345.5	1.00E-05
-346	1.00E-05
-346.5	1.00E-05
-347	1.00E-05
-347.5	1.00E-05
-348	1.00E-05
-348.5	1.00E-05
-349	1.00E-05
-349.5	1.00E-05
-350	1.00E-05
-350.5	1.00E-05
-351	1.00E-05
-351.5	1.00E-05
-352	1.00E-05
-352.5	1.00E-05
-353	1.00E-05
-353.5	1.00E-05
-354	1.00E-05
-354.5	1.00E-05
-355	1.00E-05
-355.5	1.00E-05
-356	1.00E-05
-356.5	1.00E-05
-357	1.00E-05
-357.5	1.00E-05
-358	1.00E-05
-358.5	1.00E-05
-359	1.00E-05
-359.5	1.00E-05
-360	1.00E-05
-360.5	1.00E-05
-361	1.00E-05
-361.5	1.00E-05
-362	1.00E-05
-362.5	1.00E-05
-363	1.00E-05
-363.5	1.00E-05
-364	1.00E-05
-364.5	1.00E-05
-365	1.00E-05
-365.5	1.00E-05
-366	1.00E-05
-366.5	1.00E-05
-367	1.00E-05
-367.5	1.00E-05
-368	1.00E-05
-368.5	1.00E-05
-369	1.00E-05
-369.5	1.00E-05
-370	1.00E-05
-370.5	1.00E-05
-371	1.00E-05
-371.5	1.00E-05
-372	1.00E-05
-372.5	1.00E-05
-373	1.00E-05
-373.5	1.00E-05
-374	1.00E-05
-374.5	1.00E-05
-375	1.00E-05
-375.5	1.00E-05
-376	1.00E-05
-376.5	1.00E-05
-377	1.00E-05
-377.5	1.00E-05
-378	1.00E-05
-378.5	1.00E-05
-379	1.00E-05
-379.5	1.00E-05
-380	1.00E-05
-380.5	1.00E-05
-381	1.00E-05
-381.5	1.00E-05
-382	1.00E-05
-382.5	1.00E-05
-383	1.00E-05
-383.5	1.00E-05
-384	1.00E-05
-384.5	1.00E-05
-385	1.00E-05
-385.5	1.00E-05
-386	1.00E-05
-386.5	1.00E-05
-387	1.00E-05
-387.5	1.00E-05
-388	1.00E-05
-388.5	1.00E-05
-389	1.00E-05
-389.5	1.00E-05
-390	1.00E-05
-390.5	1.00E-05
-391	1.00E-05
-391.5	1.00E-05
-392	1.00E-05
-392.5	1.00E-05
-393	1.00E-05
-393.5	1.00E-05
-394	1.00E-05
-394.5	1.00E-05
-395	1.00E-05
-395.5	1.00E-05
-396	1.00E-05
-396.5	1.00E-05
-397	1.00E-05
-397.5	1.00E-05
-398	1.00E-05
-398.5	1.00E-05
-399	1.00E-05
-399.5	1.00E-05
-400	1.00E-05
-400.5	1.00E-05
-401	1.00E-05
-401.5	1.00E-05
-402	1.00E-05
-402.5	1.00E-05
-403	1.00E-05
-403.5	1.00E-05
-404	1.00E-05
-404.5	1.00E-05
